Species_1,Kingdom_1,Interaction_type,Species_2,Kingdom_2
Araneus quadratus,Animal,eats,Kelisia punctulum,Animal
Araneus quadratus,Animal,eats,Ephemeroptera,Animal
Hymenoptera,Animal,eatenBy,Metellina segmentata,Animal
Argiope bruennichi,Animal,eats,Lepyronia coleoptrata,Animal
Araneus diadematus,Animal,eats,Lepyronia coleoptrata,Animal
Araneus diadematus,Animal,eats,Rhopalosiphum padi,Animal
Araneus diadematus,Animal,eats,Coleoptera,Animal
Heteroptera,Animal,eatenBy,Araneus quadratus,Animal
Kelisia punctulum,Animal,eatenBy,Araneus diadematus,Animal
Stenocranus major,Animal,eatenBy,Metellina segmentata,Animal
Ephemeroptera,Animal,eatenBy,Araneus quadratus,Animal
Argiope bruennichi,Animal,eats,Hymenoptera,Animal
Thysanoptera,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Aphidini,Animal
Larinioides cornutus,Animal,eats,Coleoptera,Animal
Metellina segmentata,Animal,eats,Aphidini,Animal
Coleoptera,Animal,eatenBy,Araneus diadematus,Animal
Hemiptera,Animal,eatenBy,Larinioides cornutus,Animal
Argiope bruennichi,Animal,eats,Hyalopterus pruni,Animal
Araneus diadematus,Animal,eats,Panorpidae,Animal
Argiope bruennichi,Animal,eats,Cicadella viridis,Animal
Myzus persicae,Animal,eatenBy,Araneus quadratus,Animal
Panorpidae,Animal,eatenBy,Araneus diadematus,Animal
Larinioides cornutus,Animal,eats,Trichoptera,Animal
Argiope bruennichi,Animal,eats,Araneae,Animal
Araneus diadematus,Animal,eats,Hymenoptera,Animal
Rhopalosiphum padi,Animal,eatenBy,Argiope bruennichi,Animal
Argiope bruennichi,Animal,eats,Apidae,Animal
Tetragnatha extensa,Animal,eats,Araneae,Animal
Cicadula quadrinotata,Animal,eatenBy,Metellina segmentata,Animal
Araneae,Animal,eatenBy,Araneus diadematus,Animal
Argiope bruennichi,Animal,eats,Rhopalosiphum padi,Animal
Diptera,Animal,eatenBy,Araneus diadematus,Animal
Argiope bruennichi,Animal,eats,Thysanoptera,Animal
Kelisia punctulum,Animal,eatenBy,Argiope bruennichi,Animal
Metellina segmentata,Animal,eats,Typhlocybinae,Animal
Argiope bruennichi,Animal,eats,Stenocranus major,Animal
Metellina segmentata,Animal,eats,Cicadula quadrinotata,Animal
Larinioides cornutus,Animal,eats,Apidae,Animal
Araneus diadematus,Animal,eats,Diptera,Animal
Araneus diadematus,Animal,eats,Cicadoidea,Animal
Dicranotropis hamata,Animal,eatenBy,Argiope bruennichi,Animal
Lepidoptera,Animal,eatenBy,Larinioides cornutus,Animal
Araneus diadematus,Animal,eats,Kelisia punctulum,Animal
Diptera,Animal,eatenBy,Araneus quadratus,Animal
Metellina segmentata,Animal,eats,Javesella pellucida,Animal
Cicadula quadrinotata,Animal,eatenBy,Argiope bruennichi,Animal
Apidae,Animal,eatenBy,Araneus diadematus,Animal
Argiope bruennichi,Animal,eats,Orthoptera,Animal
Argiope bruennichi,Animal,eats,Erzaleus metrius,Animal
Araneus diadematus,Animal,eats,Hemiptera,Animal
Metellina segmentata,Animal,eats,Kelisia punctulum,Animal
Coleoptera,Animal,eatenBy,Araneus quadratus,Animal
Typhlocybinae,Animal,eatenBy,Metellina segmentata,Animal
Ephemeroptera,Animal,eatenBy,Tetragnatha extensa,Animal
Tetragnatha extensa,Animal,eats,Aphidini,Animal
Cicadoidea,Animal,eatenBy,Tetragnatha extensa,Animal
Araneus diadematus,Animal,eats,Araneae,Animal
Panorpidae,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Coleoptera,Animal
Hemiptera,Animal,eatenBy,Araneus diadematus,Animal
Diptera,Animal,eatenBy,Larinioides cornutus,Animal
Anoecia corni,Animal,eatenBy,Argiope bruennichi,Animal
Rhopalosiphum padi,Animal,eatenBy,Araneus diadematus,Animal
Aphis,Animal,eatenBy,Araneus diadematus,Animal
Thysanoptera,Animal,eatenBy,Metellina segmentata,Animal
Kelisia punctulum,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Stenocranus major,Animal
Araneus diadematus,Animal,eats,Heteroptera,Animal
Hymenoptera,Animal,eatenBy,Larinioides cornutus,Animal
Kelisia punctulum,Animal,eatenBy,Metellina segmentata,Animal
Argiope bruennichi,Animal,eats,Ephemeroptera,Animal
Lepidoptera,Animal,eatenBy,Araneus quadratus,Animal
Lepyronia coleoptrata,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Lepidoptera,Animal
Argiope bruennichi,Animal,eats,Coleoptera,Animal
Larinioides cornutus,Animal,eats,Lepidoptera,Animal
Erzaleus metrius,Animal,eatenBy,Araneus quadratus,Animal
Cicadella viridis,Animal,eatenBy,Argiope bruennichi,Animal
Cicadoidea,Animal,eatenBy,Argiope bruennichi,Animal
Araneus diadematus,Animal,eats,Thysanoptera,Animal
Araneus quadratus,Animal,eats,Chrysopidae,Animal
Cicadoidea,Animal,eatenBy,Araneus diadematus,Animal
Ephemeroptera,Animal,eatenBy,Argiope bruennichi,Animal
Tetragnatha extensa,Animal,eats,Diptera,Animal
Javesella pellucida,Animal,eatenBy,Metellina segmentata,Animal
Araneus quadratus,Animal,eats,Apidae,Animal
Argiope bruennichi,Animal,eats,Sitobion,Animal
Aphrodes bicincta,Animal,eatenBy,Argiope bruennichi,Animal
Metellina segmentata,Animal,eats,Evacanthus interruptus,Animal
Metellina segmentata,Animal,eats,Trichoptera,Animal
Formicidae,Animal,eatenBy,Araneus diadematus,Animal
Dysaphis,Animal,eatenBy,Araneus quadratus,Animal
Argiope bruennichi,Animal,eats,Aphidini,Animal
Sitobion,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Anoecia corni,Animal
Metellina segmentata,Animal,eats,Anoecia corni,Animal
Araneus diadematus,Animal,eats,Anoecia corni,Animal
Aphis fabae,Animal,eatenBy,Araneus quadratus,Animal
Coleoptera,Animal,eatenBy,Larinioides cornutus,Animal
Tetragnatha extensa,Animal,eats,Hymenoptera,Animal
Araneae,Animal,eatenBy,Tetragnatha extensa,Animal
Hymenoptera,Animal,eatenBy,Araneus diadematus,Animal
Aphidini,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Aphis fabae,Animal
Araneae,Animal,eatenBy,Araneus quadratus,Animal
Araneus quadratus,Animal,eats,Erzaleus metrius,Animal
Argiope bruennichi,Animal,eats,Aphrodes bicincta,Animal
Argiope bruennichi,Animal,eats,Diptera,Animal
Aphidini,Animal,eatenBy,Araneus diadematus,Animal
Metellina segmentata,Animal,eats,Stenocranus major,Animal
Argiope bruennichi,Animal,eats,Anoecia corni,Animal
Orthoptera,Animal,eatenBy,Argiope bruennichi,Animal
Coleoptera,Animal,eatenBy,Argiope bruennichi,Animal
Larinioides cornutus,Animal,eats,Araneae,Animal
Aphidini,Animal,eatenBy,Argiope bruennichi,Animal
Aphidini,Animal,eatenBy,Larinioides cornutus,Animal
Araneus quadratus,Animal,eats,Rhopalosiphum padi,Animal
Araneus quadratus,Animal,eats,Formicidae,Animal
Stenocranus major,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Stenocranus major,Animal
Araneus quadratus,Animal,eats,Cicadoidea,Animal
Anoecia corni,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Lepidoptera,Animal
Cicadoidea,Animal,eatenBy,Araneus quadratus,Animal
Larinioides cornutus,Animal,eats,Cicadoidea,Animal
Metellina segmentata,Animal,eats,Aphis fabae,Animal
Metellina segmentata,Animal,eats,Hymenoptera,Animal
Apidae,Animal,eatenBy,Araneus quadratus,Animal
Trichoptera,Animal,eatenBy,Larinioides cornutus,Animal
Argiope bruennichi,Animal,eats,Cicadoidea,Animal
Thysanoptera,Animal,eatenBy,Araneus quadratus,Animal
Aphidini,Animal,eatenBy,Tetragnatha extensa,Animal
Thysanoptera,Animal,eatenBy,Araneus diadematus,Animal
Ephemeroptera,Animal,eatenBy,Metellina segmentata,Animal
Larinioides cornutus,Animal,eats,Hymenoptera,Animal
Hymenoptera,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Trichoptera,Animal
Trichoptera,Animal,eatenBy,Araneus diadematus,Animal
Pistacia terebinthus,Plant,eatenBy,Sylvia atricapilla,Animal
Phillyrea latifolia,Plant,eatenBy,Sylvia atricapilla,Animal
Phillyrea angustifolia,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Juniperus oxycedrus,Plant
Celtis australis,Plant,eatenBy,Sylvia atricapilla,Animal
Ligustrum japonicum,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Olea europaea,Plant
Sylvia atricapilla,Animal,eats,Myrtus communis,Plant
Sylvia atricapilla,Animal,eats,Vitis vinifera,Plant
Sylvia atricapilla,Animal,eats,Rhamnus lycioides,Plant
Juniperus oxycedrus,Plant,eatenBy,Sylvia atricapilla,Animal
Osyris quadripartita,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Lonicera implexa,Plant
Daphne gnidium,Plant,eatenBy,Sylvia atricapilla,Animal
Rubus ulmifolius,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Pistacia lentiscus,Plant
Sylvia atricapilla,Animal,eats,Iris foetidissima,Plant
Sylvia atricapilla,Animal,eats,Daphne gnidium,Plant
Arbutus unedo,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Rubia peregrina,Plant
Olea europaea,Plant,eatenBy,Sylvia atricapilla,Animal
Solanum nigrum,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Ligustrum japonicum,Plant
Asparagus,Plant,eatenBy,Sylvia atricapilla,Animal
Lonicera periclymenum,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Phillyrea angustifolia,Plant
Cydonia oblonga,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Osyris alba,Plant
Lonicera implexa,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Phillyrea latifolia,Plant
Sylvia atricapilla,Animal,eats,Dioscorea communis,Plant
Vitis vinifera,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Arbutus unedo,Plant
Pistacia lentiscus,Plant,eatenBy,Sylvia atricapilla,Animal
Viburnum tinus,Plant,eatenBy,Sylvia atricapilla,Animal
Ficus carica,Plant,eatenBy,Sylvia atricapilla,Animal
Myrtus communis,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Rubus ulmifolius,Plant
Sylvia atricapilla,Animal,eats,Celtis australis,Plant
Sylvia atricapilla,Animal,eats,Solanum nigrum,Plant
Smilax aspera,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Viburnum tinus,Plant
Rubia peregrina,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Pistacia terebinthus,Plant
Sylvia atricapilla,Animal,eats,Osyris quadripartita,Plant
Rosa,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Lonicera periclymenum,Plant
Solanum dulcamara,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Cydonia oblonga,Plant
Sylvia atricapilla,Animal,eats,Smilax aspera,Plant
Sylvia atricapilla,Animal,eats,Ficus carica,Plant
Osyris alba,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Solanum dulcamara,Plant
Sylvia atricapilla,Animal,eats,Asparagus,Plant
Rhamnus lycioides,Plant,eatenBy,Sylvia atricapilla,Animal
Dioscorea communis,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Rosa,Plant
Iris foetidissima,Plant,eatenBy,Sylvia atricapilla,Animal
Ramalina farinacea,Fungi,epiphyteOf,Betula pendula,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lecidea nylanderi,Fungi
Carpinus betulus,Plant,hasEpiphyte,Lecania cyrtella,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Opegrapha niveoatra,Fungi
Carpinus betulus,Plant,hasEpiphyte,Hypogymnia physodes,Fungi
Phlyctis argena,Fungi,epiphyteOf,Tilia cordata,Plant
Carpinus betulus,Plant,hasEpiphyte,Bacidina sulphurella,Fungi
Lecania croatica,Fungi,epiphyteOf,Carpinus betulus,Plant
Lepraria lobificans,Fungi,epiphyteOf,Quercus robur,Plant
Pertusaria flavida,Fungi,epiphyteOf,Tilia cordata,Plant
Cetrelia olivetorum,Fungi,epiphyteOf,Alnus glutinosa,Plant
Pinus sylvestris,Plant,hasEpiphyte,Lepraria elobata,Fungi
Tilia cordata,Plant,hasEpiphyte,Lepraria vouauxii,Fungi
Corylus avellana,Plant,hasEpiphyte,Bacidina sulphurella,Fungi
Trapeliopsis flexuosa,Fungi,epiphyteOf,Picea glauca,Plant
Carpinus betulus,Plant,hasEpiphyte,Cladonia chlorophaea,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Bacidia rubella,Fungi
Evernia prunastri,Fungi,epiphyteOf,Alnus glutinosa,Plant
Alnus glutinosa,Plant,hasEpiphyte,Chaenotheca stemonea,Fungi
Populus tremula,Plant,hasEpiphyte,Chaenotheca stemonea,Fungi
Picea glauca,Plant,hasEpiphyte,Biatora ocelliformis,Fungi
Lecanora thysanophora,Fungi,epiphyteOf,Carpinus betulus,Plant
Ochrolechia turneri,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Parmelia ernstiae,Fungi,epiphyteOf,Betula pendula,Plant
Corylus avellana,Plant,hasEpiphyte,Hypogymnia tubulosa,Fungi
Arthothelium ruanum,Fungi,epiphyteOf,Frangula alnus,Plant
Pinus sylvestris,Plant,hasEpiphyte,Lepraria lobificans,Fungi
Ropalospora viridis,Fungi,epiphyteOf,Quercus robur,Plant
Lecania croatica,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Alnus glutinosa,Plant,hasEpiphyte,Cladonia digitata,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Cetrelia cetrarioides,Fungi
Pinus sylvestris,Plant,hasEpiphyte,Lecidea nylanderi,Fungi
Carpinus betulus,Plant,hasEpiphyte,Pseudevernia furfuracea,Fungi
Betula pendula,Plant,hasEpiphyte,Dimerella pineti,Fungi
Populus tremula,Plant,hasEpiphyte,Arthonia radiata,Fungi
Fuscidea arboricola,Fungi,epiphyteOf,Picea glauca,Plant
Frangula alnus,Plant,hasEpiphyte,Ropalospora viridis,Fungi
Corylus avellana,Plant,hasEpiphyte,Cladonia coniocraea,Fungi
Sorbus aucuparia,Plant,hasEpiphyte,Lepraria rigidula,Fungi
Betula pendula,Plant,hasEpiphyte,Lecanora expallens,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Pertusaria coccodes,Fungi
Corylus avellana,Plant,hasEpiphyte,Pyrenula nitidella,Fungi
Hypogymnia tubulosa,Fungi,epiphyteOf,Alnus glutinosa,Plant
Tilia cordata,Plant,hasEpiphyte,Lecanora expallens,Fungi
Ropalospora viridis,Fungi,epiphyteOf,Frangula alnus,Plant
Alnus glutinosa,Plant,hasEpiphyte,Chaenotheca chlorella,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Chaenotheca furfuracea,Fungi
Tilia cordata,Plant,hasEpiphyte,Arthonia vinosa,Fungi
Pinus sylvestris,Plant,hasEpiphyte,Usnea hirta ex,Fungi
Ramalina farinacea,Fungi,epiphyteOf,Corylus avellana,Plant
Quercus robur,Plant,hasEpiphyte,Pertusaria coccodes,Fungi
Lepraria incana,Fungi,epiphyteOf,Tilia cordata,Plant
Hypogymnia tubulosa,Fungi,epiphyteOf,Carpinus betulus,Plant
Alnus glutinosa,Plant,hasEpiphyte,Menegazzia terebrata,Fungi
Pinus sylvestris,Plant,hasEpiphyte,Pycnora sorophora,Fungi
Picea glauca,Plant,hasEpiphyte,Ochrolechia microstictoides,Fungi
Tilia cordata,Plant,hasEpiphyte,Cetrelia monachorum,Fungi
Cladonia digitata,Fungi,epiphyteOf,Alnus glutinosa,Plant
Carpinus betulus,Plant,hasEpiphyte,Graphis scripta,Fungi
Ochrolechia subviridis,Fungi,epiphyteOf,Tilia cordata,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Porina aenea,Fungi
Cladonia fimbriata,Fungi,epiphyteOf,Corylus avellana,Plant
Violella fucata,Fungi,epiphyteOf,Alnus glutinosa,Plant
Alnus glutinosa,Plant,hasEpiphyte,Lepraria elobata,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Lepraria rigidula,Fungi
Cladonia fimbriata,Fungi,epiphyteOf,Picea glauca,Plant
Sorbus aucuparia,Plant,hasEpiphyte,Hypogymnia physodes,Fungi
Tilia cordata,Plant,hasEpiphyte,Parmelia saxatilis,Fungi
Corylus avellana,Plant,hasEpiphyte,Arthonia spadicea,Fungi
Betula pendula,Plant,hasEpiphyte,Scoliciosporum sarothamni,Fungi
Lepraria elobata,Fungi,epiphyteOf,Picea glauca,Plant
Ramalina farinacea,Fungi,epiphyteOf,Acer platanoides,Plant
Populus tremula,Plant,hasEpiphyte,Opegrapha rufescens,Fungi
Tilia cordata,Plant,hasEpiphyte,Violella fucata,Fungi
Betula pendula,Plant,hasEpiphyte,Lecanora symmicta,Fungi
Picea glauca,Plant,hasEpiphyte,Cladonia macilenta,Fungi
Tilia cordata,Plant,hasEpiphyte,Microcalicium disseminatum,Fungi
Lepraria elobata,Fungi,epiphyteOf,Frangula alnus,Plant
Ulmus minor,Plant,hasEpiphyte,Pertusaria coccodes,Fungi
Graphis scripta,Fungi,epiphyteOf,Sorbus aucuparia,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Xanthoria polycarpa,Fungi
Acer platanoides,Plant,hasEpiphyte,Lepraria lobificans,Fungi
Bacidia subincompta,Fungi,epiphyteOf,Quercus robur,Plant
Reichlingia leopoldii,Fungi,epiphyteOf,Populus tremula,Plant
Pseudevernia furfuracea,Fungi,epiphyteOf,Carpinus betulus,Plant
Hypotrachyna revoluta,Fungi,epiphyteOf,Corylus avellana,Plant
Corylus avellana,Plant,hasEpiphyte,Loxospora elatina,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Evernia prunastri,Fungi
Calicium salicinum,Fungi,epiphyteOf,Carpinus betulus,Plant
Peltigera praetextata,Fungi,epiphyteOf,Acer platanoides,Plant
Lecania cyrtella,Fungi,epiphyteOf,Betula pendula,Plant
Acer platanoides,Plant,hasEpiphyte,Lepra amara,Fungi
Physcia stellaris,Fungi,epiphyteOf,Populus tremula,Plant
Frangula alnus,Plant,hasEpiphyte,Graphis scripta,Fungi
Corylus avellana,Plant,hasEpiphyte,Pertusaria flavida,Fungi
Lepra amara,Fungi,epiphyteOf,Quercus robur,Plant
Quercus robur,Plant,hasEpiphyte,Ochrolechia microstictoides,Fungi
Melanohalea exasperatula,Fungi,epiphyteOf,Acer platanoides,Plant
Bacidina sulphurella,Fungi,epiphyteOf,Populus tremula,Plant
Scoliciosporum sarothamni,Fungi,epiphyteOf,Tilia cordata,Plant
Lecanora chlarotera,Fungi,epiphyteOf,Quercus robur,Plant
Dimerella pineti,Fungi,epiphyteOf,Alnus glutinosa,Plant
Pinus sylvestris,Plant,hasEpiphyte,Placynthiella icmalea,Fungi
Corylus avellana,Plant,hasEpiphyte,Ropalospora viridis,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Bacidia biatorina,Fungi
Rinodina efflorescens,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Pertusaria coccodes,Fungi,epiphyteOf,Picea glauca,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Arthonia radiata,Fungi
Picea glauca,Plant,hasEpiphyte,Physcia tenella,Fungi
Platismatia glauca,Fungi,epiphyteOf,Betula pendula,Plant
Picea glauca,Plant,hasEpiphyte,Pertusaria coccodes,Fungi
Betula pendula,Plant,hasEpiphyte,Cladonia coniocraea,Fungi
Quercus robur,Plant,hasEpiphyte,Usnea hirta ex,Fungi
Lepraria incana,Fungi,epiphyteOf,Corylus avellana,Plant
Tilia cordata,Plant,hasEpiphyte,Loxospora elatina,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Micarea byssacea,Fungi
Tilia cordata,Plant,hasEpiphyte,Cladonia fimbriata,Fungi
Biatora ligni-mollis,Fungi,epiphyteOf,Alnus glutinosa,Plant
Cladonia coniocraea,Fungi,epiphyteOf,Acer platanoides,Plant
Thelotrema lepadinum,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Cetrelia cetrarioides,Fungi,epiphyteOf,Picea glauca,Plant
Betula pendula,Plant,hasEpiphyte,Inoderma byssaceum,Fungi
Chrysothrix candelaris,Fungi,epiphyteOf,Betula pendula,Plant
Fellhanera gyrophorica,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Inoderma byssaceum,Fungi,epiphyteOf,Acer platanoides,Plant
Quercus robur,Plant,hasEpiphyte,Arthonia arthonioides,Fungi
Parmelia sulcata,Fungi,epiphyteOf,Sorbus aucuparia,Plant
Chaenotheca brachypoda,Fungi,epiphyteOf,Acer platanoides,Plant
Lecanora thysanophora,Fungi,epiphyteOf,Quercus robur,Plant
Flavoparmelia caperata,Fungi,epiphyteOf,Ulmus minor,Plant
Populus tremula,Plant,hasEpiphyte,Parmelia sulcata,Fungi
Carpinus betulus,Plant,hasEpiphyte,Buellia griseovirens,Fungi
Physcia tenella,Fungi,epiphyteOf,Alnus glutinosa,Plant
Chrysothrix candelaris,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Scoliciosporum chlorococcum,Fungi,epiphyteOf,Tilia cordata,Plant
Usnea hirta ex,Fungi,epiphyteOf,Quercus robur,Plant
Corylus avellana,Plant,hasEpiphyte,Lecanora argentata,Fungi
Sorbus aucuparia,Plant,hasEpiphyte,Lecanora chlarotera,Fungi
Parmelia saxatilis,Fungi,epiphyteOf,Carpinus betulus,Plant
Anisomeridium polypori,Fungi,epiphyteOf,Quercus robur,Plant
Quercus robur,Plant,hasEpiphyte,Hypogymnia physodes,Fungi
Physcia aipolia,Fungi,epiphyteOf,Alnus glutinosa,Plant
Usnea subfloridana,Fungi,epiphyteOf,Alnus glutinosa,Plant
Lecanora hagenii,Fungi,epiphyteOf,Populus tremula,Plant
Biatora hemipolia,Fungi,epiphyteOf,Alnus glutinosa,Plant
Myriolecis persimilis,Fungi,epiphyteOf,Carpinus betulus,Plant
Pertusaria flavida,Fungi,epiphyteOf,Carpinus betulus,Plant
Lecanora symmicta,Fungi,epiphyteOf,Quercus robur,Plant
Cladonia chlorophaea,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Carpinus betulus,Plant,hasEpiphyte,Graphis scripta,Fungi
Parmelia sulcata,Fungi,epiphyteOf,Carpinus betulus,Plant
Lepra albescens,Fungi,epiphyteOf,Populus tremula,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lepraria vouauxii,Fungi
