Species_1,Kingdom_1,Interaction_type,Species_2,Kingdom_2
Araneus quadratus,Animal,eats,Kelisia punctulum,Animal
Araneus quadratus,Animal,eats,Ephemeroptera,Animal
Hymenoptera,Animal,eatenBy,Metellina segmentata,Animal
Argiope bruennichi,Animal,eats,Lepyronia coleoptrata,Animal
Araneus diadematus,Animal,eats,Lepyronia coleoptrata,Animal
Araneus diadematus,Animal,eats,Rhopalosiphum padi,Animal
Araneus diadematus,Animal,eats,Coleoptera,Animal
Heteroptera,Animal,eatenBy,Araneus quadratus,Animal
Kelisia punctulum,Animal,eatenBy,Araneus diadematus,Animal
Stenocranus major,Animal,eatenBy,Metellina segmentata,Animal
Ephemeroptera,Animal,eatenBy,Araneus quadratus,Animal
Argiope bruennichi,Animal,eats,Hymenoptera,Animal
Thysanoptera,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Aphidini,Animal
Larinioides cornutus,Animal,eats,Coleoptera,Animal
Metellina segmentata,Animal,eats,Aphidini,Animal
Coleoptera,Animal,eatenBy,Araneus diadematus,Animal
Hemiptera,Animal,eatenBy,Larinioides cornutus,Animal
Argiope bruennichi,Animal,eats,Hyalopterus pruni,Animal
Araneus diadematus,Animal,eats,Panorpidae,Animal
Argiope bruennichi,Animal,eats,Cicadella viridis,Animal
Myzus persicae,Animal,eatenBy,Araneus quadratus,Animal
Panorpidae,Animal,eatenBy,Araneus diadematus,Animal
Larinioides cornutus,Animal,eats,Trichoptera,Animal
Argiope bruennichi,Animal,eats,Araneae,Animal
Araneus diadematus,Animal,eats,Hymenoptera,Animal
Rhopalosiphum padi,Animal,eatenBy,Argiope bruennichi,Animal
Argiope bruennichi,Animal,eats,Apidae,Animal
Tetragnatha extensa,Animal,eats,Araneae,Animal
Cicadula quadrinotata,Animal,eatenBy,Metellina segmentata,Animal
Araneae,Animal,eatenBy,Araneus diadematus,Animal
Argiope bruennichi,Animal,eats,Rhopalosiphum padi,Animal
Diptera,Animal,eatenBy,Araneus diadematus,Animal
Argiope bruennichi,Animal,eats,Thysanoptera,Animal
Kelisia punctulum,Animal,eatenBy,Argiope bruennichi,Animal
Metellina segmentata,Animal,eats,Typhlocybinae,Animal
Argiope bruennichi,Animal,eats,Stenocranus major,Animal
Metellina segmentata,Animal,eats,Cicadula quadrinotata,Animal
Larinioides cornutus,Animal,eats,Apidae,Animal
Araneus diadematus,Animal,eats,Diptera,Animal
Araneus diadematus,Animal,eats,Cicadoidea,Animal
Dicranotropis hamata,Animal,eatenBy,Argiope bruennichi,Animal
Lepidoptera,Animal,eatenBy,Larinioides cornutus,Animal
Araneus diadematus,Animal,eats,Kelisia punctulum,Animal
Diptera,Animal,eatenBy,Araneus quadratus,Animal
Metellina segmentata,Animal,eats,Javesella pellucida,Animal
Cicadula quadrinotata,Animal,eatenBy,Argiope bruennichi,Animal
Apidae,Animal,eatenBy,Araneus diadematus,Animal
Argiope bruennichi,Animal,eats,Orthoptera,Animal
Argiope bruennichi,Animal,eats,Erzaleus metrius,Animal
Araneus diadematus,Animal,eats,Hemiptera,Animal
Metellina segmentata,Animal,eats,Kelisia punctulum,Animal
Coleoptera,Animal,eatenBy,Araneus quadratus,Animal
Typhlocybinae,Animal,eatenBy,Metellina segmentata,Animal
Ephemeroptera,Animal,eatenBy,Tetragnatha extensa,Animal
Tetragnatha extensa,Animal,eats,Aphidini,Animal
Cicadoidea,Animal,eatenBy,Tetragnatha extensa,Animal
Araneus diadematus,Animal,eats,Araneae,Animal
Panorpidae,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Coleoptera,Animal
Hemiptera,Animal,eatenBy,Araneus diadematus,Animal
Diptera,Animal,eatenBy,Larinioides cornutus,Animal
Anoecia corni,Animal,eatenBy,Argiope bruennichi,Animal
Rhopalosiphum padi,Animal,eatenBy,Araneus diadematus,Animal
Aphis,Animal,eatenBy,Araneus diadematus,Animal
Thysanoptera,Animal,eatenBy,Metellina segmentata,Animal
Kelisia punctulum,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Stenocranus major,Animal
Araneus diadematus,Animal,eats,Heteroptera,Animal
Hymenoptera,Animal,eatenBy,Larinioides cornutus,Animal
Kelisia punctulum,Animal,eatenBy,Metellina segmentata,Animal
Argiope bruennichi,Animal,eats,Ephemeroptera,Animal
Lepidoptera,Animal,eatenBy,Araneus quadratus,Animal
Lepyronia coleoptrata,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Lepidoptera,Animal
Argiope bruennichi,Animal,eats,Coleoptera,Animal
Larinioides cornutus,Animal,eats,Lepidoptera,Animal
Erzaleus metrius,Animal,eatenBy,Araneus quadratus,Animal
Cicadella viridis,Animal,eatenBy,Argiope bruennichi,Animal
Cicadoidea,Animal,eatenBy,Argiope bruennichi,Animal
Araneus diadematus,Animal,eats,Thysanoptera,Animal
Araneus quadratus,Animal,eats,Chrysopidae,Animal
Cicadoidea,Animal,eatenBy,Araneus diadematus,Animal
Ephemeroptera,Animal,eatenBy,Argiope bruennichi,Animal
Tetragnatha extensa,Animal,eats,Diptera,Animal
Javesella pellucida,Animal,eatenBy,Metellina segmentata,Animal
Araneus quadratus,Animal,eats,Apidae,Animal
Argiope bruennichi,Animal,eats,Sitobion,Animal
Aphrodes bicincta,Animal,eatenBy,Argiope bruennichi,Animal
Metellina segmentata,Animal,eats,Evacanthus interruptus,Animal
Metellina segmentata,Animal,eats,Trichoptera,Animal
Formicidae,Animal,eatenBy,Araneus diadematus,Animal
Dysaphis,Animal,eatenBy,Araneus quadratus,Animal
Argiope bruennichi,Animal,eats,Aphidini,Animal
Sitobion,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Anoecia corni,Animal
Metellina segmentata,Animal,eats,Anoecia corni,Animal
Araneus diadematus,Animal,eats,Anoecia corni,Animal
Aphis fabae,Animal,eatenBy,Araneus quadratus,Animal
Coleoptera,Animal,eatenBy,Larinioides cornutus,Animal
Tetragnatha extensa,Animal,eats,Hymenoptera,Animal
Araneae,Animal,eatenBy,Tetragnatha extensa,Animal
Hymenoptera,Animal,eatenBy,Araneus diadematus,Animal
Aphidini,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Aphis fabae,Animal
Araneae,Animal,eatenBy,Araneus quadratus,Animal
Araneus quadratus,Animal,eats,Erzaleus metrius,Animal
Argiope bruennichi,Animal,eats,Aphrodes bicincta,Animal
Argiope bruennichi,Animal,eats,Diptera,Animal
Aphidini,Animal,eatenBy,Araneus diadematus,Animal
Metellina segmentata,Animal,eats,Stenocranus major,Animal
Argiope bruennichi,Animal,eats,Anoecia corni,Animal
Orthoptera,Animal,eatenBy,Argiope bruennichi,Animal
Coleoptera,Animal,eatenBy,Argiope bruennichi,Animal
Larinioides cornutus,Animal,eats,Araneae,Animal
Aphidini,Animal,eatenBy,Argiope bruennichi,Animal
Aphidini,Animal,eatenBy,Larinioides cornutus,Animal
Araneus quadratus,Animal,eats,Rhopalosiphum padi,Animal
Araneus quadratus,Animal,eats,Formicidae,Animal
Stenocranus major,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Stenocranus major,Animal
Araneus quadratus,Animal,eats,Cicadoidea,Animal
Anoecia corni,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Lepidoptera,Animal
Cicadoidea,Animal,eatenBy,Araneus quadratus,Animal
Larinioides cornutus,Animal,eats,Cicadoidea,Animal
Metellina segmentata,Animal,eats,Aphis fabae,Animal
Metellina segmentata,Animal,eats,Hymenoptera,Animal
Apidae,Animal,eatenBy,Araneus quadratus,Animal
Trichoptera,Animal,eatenBy,Larinioides cornutus,Animal
Argiope bruennichi,Animal,eats,Cicadoidea,Animal
Thysanoptera,Animal,eatenBy,Araneus quadratus,Animal
Aphidini,Animal,eatenBy,Tetragnatha extensa,Animal
Thysanoptera,Animal,eatenBy,Araneus diadematus,Animal
Ephemeroptera,Animal,eatenBy,Metellina segmentata,Animal
Larinioides cornutus,Animal,eats,Hymenoptera,Animal
Hymenoptera,Animal,eatenBy,Araneus quadratus,Animal
Araneus diadematus,Animal,eats,Trichoptera,Animal
Trichoptera,Animal,eatenBy,Araneus diadematus,Animal
Pistacia terebinthus,Plant,eatenBy,Sylvia atricapilla,Animal
Phillyrea latifolia,Plant,eatenBy,Sylvia atricapilla,Animal
Phillyrea angustifolia,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Juniperus oxycedrus,Plant
Celtis australis,Plant,eatenBy,Sylvia atricapilla,Animal
Ligustrum japonicum,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Olea europaea,Plant
Sylvia atricapilla,Animal,eats,Myrtus communis,Plant
Sylvia atricapilla,Animal,eats,Vitis vinifera,Plant
Sylvia atricapilla,Animal,eats,Rhamnus lycioides,Plant
Juniperus oxycedrus,Plant,eatenBy,Sylvia atricapilla,Animal
Osyris quadripartita,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Lonicera implexa,Plant
Daphne gnidium,Plant,eatenBy,Sylvia atricapilla,Animal
Rubus ulmifolius,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Pistacia lentiscus,Plant
Sylvia atricapilla,Animal,eats,Iris foetidissima,Plant
Sylvia atricapilla,Animal,eats,Daphne gnidium,Plant
Arbutus unedo,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Rubia peregrina,Plant
Olea europaea,Plant,eatenBy,Sylvia atricapilla,Animal
Solanum nigrum,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Ligustrum japonicum,Plant
Asparagus,Plant,eatenBy,Sylvia atricapilla,Animal
Lonicera periclymenum,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Phillyrea angustifolia,Plant
Cydonia oblonga,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Osyris alba,Plant
Lonicera implexa,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Phillyrea latifolia,Plant
Sylvia atricapilla,Animal,eats,Dioscorea communis,Plant
Vitis vinifera,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Arbutus unedo,Plant
Pistacia lentiscus,Plant,eatenBy,Sylvia atricapilla,Animal
Viburnum tinus,Plant,eatenBy,Sylvia atricapilla,Animal
Ficus carica,Plant,eatenBy,Sylvia atricapilla,Animal
Myrtus communis,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Rubus ulmifolius,Plant
Sylvia atricapilla,Animal,eats,Celtis australis,Plant
Sylvia atricapilla,Animal,eats,Solanum nigrum,Plant
Smilax aspera,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Viburnum tinus,Plant
Rubia peregrina,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Pistacia terebinthus,Plant
Sylvia atricapilla,Animal,eats,Osyris quadripartita,Plant
Rosa,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Lonicera periclymenum,Plant
Solanum dulcamara,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Cydonia oblonga,Plant
Sylvia atricapilla,Animal,eats,Smilax aspera,Plant
Sylvia atricapilla,Animal,eats,Ficus carica,Plant
Osyris alba,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Solanum dulcamara,Plant
Sylvia atricapilla,Animal,eats,Asparagus,Plant
Rhamnus lycioides,Plant,eatenBy,Sylvia atricapilla,Animal
Dioscorea communis,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Rosa,Plant
Iris foetidissima,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia borin,Animal,eats,Solanum dulcamara,Plant
Hippophae,Plant,eatenBy,Sylvia atricapilla,Animal
Curruca curruca,Animal,eats,Ribes nigrum,Plant
Rubus,Plant,eatenBy,Curruca curruca,Animal
Sylvia atricapilla,Animal,eats,Rubus,Plant
Sambucus nigra,Plant,eatenBy,Sylvia borin,Animal
Sambucus nigra,Plant,eatenBy,Sylvia atricapilla,Animal
Rubus,Plant,eatenBy,Sylvia borin,Animal
Sambucus nigra,Plant,eatenBy,Curruca curruca,Animal
Ribes nigrum,Plant,eatenBy,Sylvia atricapilla,Animal
Curruca curruca,Animal,eats,Solanum dulcamara,Plant
Ribes nigrum,Plant,eatenBy,Sylvia borin,Animal
Solanum dulcamara,Plant,eatenBy,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eats,Ribes nigrum,Plant
Sylvia borin,Animal,eats,Hippophae,Plant
Sylvia borin,Animal,eats,Rubus,Plant
Solanum dulcamara,Plant,eatenBy,Curruca curruca,Animal
Sylvia atricapilla,Animal,eats,Sambucus nigra,Plant
Curruca curruca,Animal,eats,Sambucus nigra,Plant
Sylvia borin,Animal,eats,Sambucus nigra,Plant
Sylvia atricapilla,Animal,eats,Hippophae,Plant
Rubus,Plant,eatenBy,Sylvia atricapilla,Animal
Hippophae,Plant,eatenBy,Curruca curruca,Animal
Curruca curruca,Animal,eats,Rubus,Plant
Solanum dulcamara,Plant,eatenBy,Sylvia borin,Animal
Sylvia borin,Animal,eats,Ribes nigrum,Plant
Curruca curruca,Animal,eats,Hippophae,Plant
Hippophae,Plant,eatenBy,Sylvia borin,Animal
Sylvia atricapilla,Animal,eats,Solanum dulcamara,Plant
Ribes nigrum,Plant,eatenBy,Curruca curruca,Animal
Passeriformes,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Hymenoptera,Animal
Isopoda,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Orthoptera,Animal
Diplopoda,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Lepidoptera,Animal
Diptera,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Diplopoda,Animal
Pica pica,Animal,eats,Heteroptera,Animal
Pica pica,Animal,eats,Passeriformes,Animal
Annelida,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Annelida,Animal
Rodentia,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Rodentia,Animal
Araneidae,Animal,eatenBy,Pica pica,Animal
Lepidoptera,Animal,eatenBy,Pica pica,Animal
Orthoptera,Animal,eatenBy,Pica pica,Animal
Heteroptera,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Araneidae,Animal
Pica pica,Animal,eats,Isopoda,Animal
Pica pica,Animal,eats,Coleoptera,Animal
Hymenoptera,Animal,eatenBy,Pica pica,Animal
Coleoptera,Animal,eatenBy,Pica pica,Animal
Pica pica,Animal,eats,Diptera,Animal
Fraxinus excelsior,Plant,eatenBy,Capreolus capreolus,Animal
Betula pendula,Plant,eatenBy,Capreolus capreolus,Animal
Capreolus capreolus,Animal,eats,Betula pendula,Plant
Capreolus capreolus,Animal,eats,Pinus sylvestris,Plant
Pinus sylvestris,Plant,eatenBy,Capreolus capreolus,Animal
Capreolus capreolus,Animal,eats,Fraxinus excelsior,Plant
Capreolus capreolus italicus,Animal,eats,Cynodon dactylon,Plant
Potentilla reptans,Plant,eatenBy,Capreolus capreolus italicus,Animal
Acer campestre,Plant,eatenBy,Capreolus capreolus italicus,Animal
Quercus pyrenaica,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Euonymus europaeus,Plant
Crataegus monogyna,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Vicia sativa,Plant
Cistus salviifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Cytisus hirsutus,Plant
Hedera maderensis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Carex flacca,Plant
Asparagus acutifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Plantago coronopus,Plant
Verbascum sinuatum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Euonymus atropurpureus,Plant
Verbascum blattaria,Plant,eatenBy,Capreolus capreolus italicus,Animal
Ficaria verna verna,Plant,eatenBy,Capreolus capreolus italicus,Animal
Acer monspessulanum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Pistacia lentiscus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Aremonia agrimonoides,Plant
Capreolus capreolus italicus,Animal,eats,Rhamnus alaternus,Plant
Capreolus capreolus italicus,Animal,eats,Taraxacum officinale,Plant
Capreolus capreolus italicus,Animal,eats,Dactylis glomerata,Plant
Capreolus capreolus italicus,Animal,eats,Juncus acutus,Plant
Capreolus capreolus italicus,Animal,eats,Prunus americana,Plant
Capreolus capreolus italicus,Animal,eats,Juncus acutus,Plant
Cytisus scoparius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Carpinus betulus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Rubus ulmifolius,Plant
Capreolus capreolus italicus,Animal,eats,Dactylis glomerata,Plant
Symphytum bulbosum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Cistus monspeliensis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Erica arborea,Plant
Quercus pubescens pubescens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Taraxacum officinale,Plant
Pyrus communis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Ranunculus repens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Acer campestre,Plant
Capreolus capreolus italicus,Animal,eats,Rosa canina,Plant
Capreolus capreolus italicus,Animal,eats,Carex flacca,Plant
Plantago coronopus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Corylus avellana,Plant
Capreolus capreolus italicus,Animal,eats,Rumex bucephalophorus,Plant
Verbascum thapsus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Verbascum sinuatum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Erica arborea,Plant,eatenBy,Capreolus capreolus italicus,Animal
Carex distachya,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Erica arborea,Plant
Capreolus capreolus italicus,Animal,eats,Rubus ulmifolius,Plant
Capreolus capreolus italicus,Animal,eats,Asparagus acutifolius,Plant
Rubus canescens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Crataegus monogyna,Plant
Ruscus aculeatus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Galium mollugo,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ficaria verna verna,Plant
Euonymus europaeus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Plantago coronopus,Plant
Ranunculus bulbosus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Pyrus spinosa,Plant
Capreolus capreolus italicus,Animal,eats,Crataegus monogyna,Plant
Smilax aspera,Plant,eatenBy,Capreolus capreolus italicus,Animal
Euonymus europaeus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Cynodon dactylon,Plant,eatenBy,Capreolus capreolus italicus,Animal
Aremonia agrimonoides,Plant,eatenBy,Capreolus capreolus italicus,Animal
Cormus domestica,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Osyris alba,Plant
Capreolus capreolus italicus,Animal,eats,Carpinus betulus,Plant
Capreolus capreolus italicus,Animal,eats,Rumex conglomeratus,Plant
Syringa vulgaris,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Syringa vulgaris,Plant
Carex distachya,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Verbascum blattaria,Plant
Quercus helferiana,Plant,eatenBy,Capreolus capreolus italicus,Animal
Vicia sativa,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Olea europaea,Plant
Capreolus capreolus italicus,Animal,eats,Fraxinus angustifolia,Plant
Capreolus capreolus italicus,Animal,eats,Torminalis glaberrima,Plant
Arbutus unedo,Plant,eatenBy,Capreolus capreolus italicus,Animal
Trifolium repens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Corylus avellana,Plant,eatenBy,Capreolus capreolus italicus,Animal
Olea europaea,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Smilax aspera,Plant
Capreolus capreolus italicus,Animal,eats,Quercus pubescens pubescens,Plant
Spartium junceum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Rumex longifolius,Plant
Rumex longifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Galium verum,Plant
Capreolus capreolus italicus,Animal,eats,Phillyrea latifolia,Plant
Capreolus capreolus italicus,Animal,eats,Corylus avellana,Plant
Capreolus capreolus italicus,Animal,eats,Prunus cocomilia,Plant
Capreolus capreolus italicus,Animal,eats,Fraxinus angustifolia,Plant
Ruscus aculeatus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Cistus monspeliensis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Osyris alba,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Verbascum blattaria,Plant
Verbascum blattaria,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Acer monspessulanum,Plant
Plantago serraria,Plant,eatenBy,Capreolus capreolus italicus,Animal
Plantago lanceolata,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ranunculus bulbosus,Plant
Capreolus capreolus italicus,Animal,eats,Quercus pubescens pubescens,Plant
Rubia peregrina,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ficaria verna verna,Plant
Capreolus capreolus italicus,Animal,eats,Rumex bucephalophorus,Plant
Rosa sempervirens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Symphytum bulbosum,Plant
Capreolus capreolus italicus,Animal,eats,Lonicera etrusca,Plant
Briza maxima,Plant,eatenBy,Capreolus capreolus italicus,Animal
Ranunculus repens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Rubus ulmifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Carex distachya,Plant
Capreolus capreolus italicus,Animal,eats,Trifolium aureum,Plant
