Species_1,Kingdom_1,Species_2,Kingdom_2
Araneus diadematus,Animal,Panorpidae,Animal
Argiope bruennichi,Animal,Cicadella viridis,Animal
Larinioides cornutus,Animal,Trichoptera,Animal
Araneus diadematus,Animal,Hymenoptera,Animal
Argiope bruennichi,Animal,Rhopalosiphum padi,Animal
Tetragnatha extensa,Animal,Araneae,Animal
Metellina segmentata,Animal,Cicadula quadrinotata,Animal
Araneus diadematus,Animal,Araneae,Animal
Araneus diadematus,Animal,Diptera,Animal
Metellina segmentata,Animal,Typhlocybinae,Animal
Argiope bruennichi,Animal,Stenocranus major,Animal
Araneus diadematus,Animal,Cicadoidea,Animal
Larinioides cornutus,Animal,Lepidoptera,Animal
Metellina segmentata,Animal,Javesella pellucida,Animal
Argiope bruennichi,Animal,Orthoptera,Animal
Araneus diadematus,Animal,Hemiptera,Animal
Metellina segmentata,Animal,Kelisia punctulum,Animal
Araneus quadratus,Animal,Coleoptera,Animal
Tetragnatha extensa,Animal,Aphidini,Animal
Argiope bruennichi,Animal,Anoecia corni,Animal
Larinioides cornutus,Animal,Hymenoptera,Animal
Argiope bruennichi,Animal,Ephemeroptera,Animal
Araneus quadratus,Animal,Lepidoptera,Animal
Argiope bruennichi,Animal,Coleoptera,Animal
Araneus quadratus,Animal,Erzaleus metrius,Animal
Argiope bruennichi,Animal,Cicadoidea,Animal
Araneus diadematus,Animal,Thysanoptera,Animal
Araneus quadratus,Animal,Apidae,Animal
Argiope bruennichi,Animal,Sitobion,Animal
Argiope bruennichi,Animal,Aphrodes bicincta,Animal
Argiope bruennichi,Animal,Aphidini,Animal
Araneus quadratus,Animal,Anoecia corni,Animal
Araneus quadratus,Animal,Cicadoidea,Animal
Araneus diadematus,Animal,Trichoptera,Animal
Sylvia atricapilla,Animal,Pistacia terebinthus,Plant
Sylvia atricapilla,Animal,Phillyrea latifolia,Plant
Sylvia atricapilla,Animal,Phillyrea angustifolia,Plant
Sylvia atricapilla,Animal,Juniperus oxycedrus,Plant
Sylvia atricapilla,Animal,Celtis australis,Plant
Sylvia atricapilla,Animal,Ligustrum japonicum,Plant
Sylvia atricapilla,Animal,Olea europaea,Plant
Sylvia atricapilla,Animal,Myrtus communis,Plant
Sylvia atricapilla,Animal,Vitis vinifera,Plant
Sylvia atricapilla,Animal,Rhamnus lycioides,Plant
Sylvia atricapilla,Animal,Osyris quadripartita,Plant
Sylvia atricapilla,Animal,Lonicera implexa,Plant
Sylvia atricapilla,Animal,Daphne gnidium,Plant
Sylvia atricapilla,Animal,Rubus ulmifolius,Plant
Sylvia atricapilla,Animal,Pistacia lentiscus,Plant
Sylvia atricapilla,Animal,Iris foetidissima,Plant
Sylvia atricapilla,Animal,Arbutus unedo,Plant
Sylvia atricapilla,Animal,Rubia peregrina,Plant
Sylvia atricapilla,Animal,Solanum nigrum,Plant
Sylvia atricapilla,Animal,Asparagus,Plant
Sylvia atricapilla,Animal,Lonicera periclymenum,Plant
Sylvia atricapilla,Animal,Cydonia oblonga,Plant
Sylvia atricapilla,Animal,Osyris alba,Plant
Sylvia atricapilla,Animal,Dioscorea communis,Plant
Sylvia atricapilla,Animal,Viburnum tinus,Plant
Sylvia atricapilla,Animal,Ficus carica,Plant
Sylvia atricapilla,Animal,Smilax aspera,Plant
Sylvia atricapilla,Animal,Rosa,Plant
Sylvia atricapilla,Animal,Solanum dulcamara,Plant
Sylvia borin,Animal,Solanum dulcamara,Plant
Sylvia atricapilla,Animal,Hippophae,Plant
Curruca curruca,Animal,Ribes nigrum,Plant
Curruca curruca,Animal,Rubus,Plant
Sylvia atricapilla,Animal,Rubus,Plant
Sylvia borin,Animal,Sambucus nigra,Plant
Sylvia atricapilla,Animal,Sambucus nigra,Plant
Sylvia borin,Animal,Rubus,Plant
Curruca curruca,Animal,Sambucus nigra,Plant
Sylvia atricapilla,Animal,Ribes nigrum,Plant
Curruca curruca,Animal,Solanum dulcamara,Plant
Sylvia borin,Animal,Ribes nigrum,Plant
Sylvia borin,Animal,Hippophae,Plant
Curruca curruca,Animal,Hippophae,Plant
Pica pica,Animal,Passeriformes,Animal
Pica pica,Animal,Hymenoptera,Animal
Pica pica,Animal,Isopoda,Animal
Pica pica,Animal,Orthoptera,Animal
Pica pica,Animal,Diplopoda,Animal
Pica pica,Animal,Lepidoptera,Animal
Pica pica,Animal,Diptera,Animal
Pica pica,Animal,Heteroptera,Animal
Pica pica,Animal,Annelida,Animal
Pica pica,Animal,Rodentia,Animal
Pica pica,Animal,Araneidae,Animal
Pica pica,Animal,Coleoptera,Animal
Capreolus capreolus,Animal,Fraxinus excelsior,Plant
Capreolus capreolus,Animal,Betula pendula,Plant
Capreolus capreolus,Animal,Pinus sylvestris,Plant
Capreolus capreolus italicus,Animal,Cynodon dactylon,Plant
Capreolus capreolus italicus,Animal,Potentilla reptans,Plant
Capreolus capreolus italicus,Animal,Acer campestre,Plant
Capreolus capreolus italicus,Animal,Quercus pyrenaica,Plant
Capreolus capreolus italicus,Animal,Euonymus europaeus,Plant
Capreolus capreolus italicus,Animal,Crataegus monogyna,Plant
Capreolus capreolus italicus,Animal,Vicia sativa,Plant
Capreolus capreolus italicus,Animal,Cistus salviifolius,Plant
Capreolus capreolus italicus,Animal,Cytisus hirsutus,Plant
Capreolus capreolus italicus,Animal,Hedera maderensis,Plant
Capreolus capreolus italicus,Animal,Carex flacca,Plant
Capreolus capreolus italicus,Animal,Asparagus acutifolius,Plant
Capreolus capreolus italicus,Animal,Plantago coronopus,Plant
Capreolus capreolus italicus,Animal,Verbascum sinuatum,Plant
Capreolus capreolus italicus,Animal,Euonymus atropurpureus,Plant
Capreolus capreolus italicus,Animal,Verbascum blattaria,Plant
Capreolus capreolus italicus,Animal,Ficaria verna verna,Plant
Capreolus capreolus italicus,Animal,Acer monspessulanum,Plant
Capreolus capreolus italicus,Animal,Pistacia lentiscus,Plant
Capreolus capreolus italicus,Animal,Aremonia agrimonoides,Plant
Capreolus capreolus italicus,Animal,Rhamnus alaternus,Plant
Capreolus capreolus italicus,Animal,Taraxacum officinale,Plant
Capreolus capreolus italicus,Animal,Dactylis glomerata,Plant
Capreolus capreolus italicus,Animal,Juncus acutus,Plant
Capreolus capreolus italicus,Animal,Prunus americana,Plant
Capreolus capreolus italicus,Animal,Cytisus scoparius,Plant
Capreolus capreolus italicus,Animal,Carpinus betulus,Plant
Capreolus capreolus italicus,Animal,Rubus ulmifolius,Plant
Capreolus capreolus italicus,Animal,Symphytum bulbosum,Plant
Capreolus capreolus italicus,Animal,Cistus monspeliensis,Plant
Capreolus capreolus italicus,Animal,Erica arborea,Plant
Capreolus capreolus italicus,Animal,Quercus pubescens pubescens,Plant
Capreolus capreolus italicus,Animal,Pyrus communis,Plant
Capreolus capreolus italicus,Animal,Ranunculus repens,Plant
Capreolus capreolus italicus,Animal,Rosa canina,Plant
Capreolus capreolus italicus,Animal,Corylus avellana,Plant
Capreolus capreolus italicus,Animal,Rumex bucephalophorus,Plant
Capreolus capreolus italicus,Animal,Verbascum thapsus,Plant
Capreolus capreolus italicus,Animal,Carex distachya,Plant
Capreolus capreolus italicus,Animal,Rubus canescens,Plant
Capreolus capreolus italicus,Animal,Ruscus aculeatus,Plant
Capreolus capreolus italicus,Animal,Galium mollugo,Plant
Capreolus capreolus italicus,Animal,Ranunculus bulbosus,Plant
Capreolus capreolus italicus,Animal,Pyrus spinosa,Plant
Capreolus capreolus italicus,Animal,Smilax aspera,Plant
Capreolus capreolus italicus,Animal,Cormus domestica,Plant
Capreolus capreolus italicus,Animal,Osyris alba,Plant
Capreolus capreolus italicus,Animal,Rumex conglomeratus,Plant
Capreolus capreolus italicus,Animal,Syringa vulgaris,Plant
Capreolus capreolus italicus,Animal,Quercus helferiana,Plant
Capreolus capreolus italicus,Animal,Olea europaea,Plant
Capreolus capreolus italicus,Animal,Fraxinus angustifolia,Plant
Capreolus capreolus italicus,Animal,Torminalis glaberrima,Plant
Capreolus capreolus italicus,Animal,Arbutus unedo,Plant
Capreolus capreolus italicus,Animal,Trifolium repens,Plant
Capreolus capreolus italicus,Animal,Spartium junceum,Plant
Capreolus capreolus italicus,Animal,Rumex longifolius,Plant
Capreolus capreolus italicus,Animal,Galium verum,Plant
Capreolus capreolus italicus,Animal,Phillyrea latifolia,Plant
Capreolus capreolus italicus,Animal,Prunus cocomilia,Plant
Capreolus capreolus italicus,Animal,Plantago serraria,Plant
Capreolus capreolus italicus,Animal,Plantago lanceolata,Plant
Capreolus capreolus italicus,Animal,Rubia peregrina,Plant
Capreolus capreolus italicus,Animal,Rosa sempervirens,Plant
Capreolus capreolus italicus,Animal,Lonicera etrusca,Plant
Capreolus capreolus italicus,Animal,Briza maxima,Plant
Capreolus capreolus italicus,Animal,Trifolium aureum,Plant
Capreolus capreolus italicus,Animal,Alnus glutinosa,Plant
Capreolus capreolus italicus,Animal,Quercus suber,Plant
Capreolus capreolus italicus,Animal,Bromus inermis,Plant
Capreolus capreolus italicus,Animal,Ulmus minor,Plant
Capreolus capreolus italicus,Animal,Rumex sanguineus,Plant
Capreolus capreolus italicus,Animal,Dioscorea communis,Plant
Capreolus capreolus italicus,Animal,Trifolium pratense,Plant
Capreolus capreolus italicus,Animal,Asphodelus ramosus,Plant
Capreolus capreolus italicus,Animal,Brachypodium sylvaticum,Plant
Capreolus capreolus italicus,Animal,Clematis flammula,Plant
Capreolus capreolus italicus,Animal,Prangos ferulacea,Plant
Capreolus capreolus italicus,Animal,Foeniculum vulgare,Plant
Garrulus glandarius,Animal,Emberiza citrinella,Animal
Martes,Animal,Turdus philomelos,Animal
Martes,Animal,Emberiza citrinella,Animal
Garrulus glandarius,Animal,Turdus philomelos,Animal
Martes martes,Animal,Prunella modularis,Animal
Garrulus glandarius,Animal,Sylvia atricapilla,Animal
Sciurus vulgaris,Animal,Sylvia atricapilla,Animal
Sciurus vulgaris,Animal,Hippolais icterina,Animal
Martes,Animal,Sylvia borin,Animal
Asio otus,Animal,Fringilla coelebs,Animal
Felis catus,Animal,Phylloscopus collybita,Animal
Dendrocopos major,Animal,Fringilla coelebs,Animal
Sciurus vulgaris,Animal,Fringilla coelebs,Animal
Martes,Animal,Sylvia atricapilla,Animal
Martes martes,Animal,Hippolais icterina,Animal
Dendrocopos major,Animal,Turdus philomelos,Animal
Martes,Animal,Acrocephalus palustris,Animal
Mustela,Animal,Turdus philomelos,Animal
Lanius collurio,Animal,Emberiza citrinella,Animal
Garrulus glandarius,Animal,Prunella modularis,Animal
Meles meles,Animal,Emberiza citrinella,Animal
Martes,Animal,Luscinia megarhynchos,Animal
Martes,Animal,Fringilla coelebs,Animal
Dendrocopos major,Animal,Sylvia atricapilla,Animal
Martes martes,Animal,Turdus philomelos,Animal
Martes,Animal,Turdus merula,Animal
Martes,Animal,Garrulus glandarius,Animal
Lanius collurio,Animal,Sylvia borin,Animal
Strix aluco,Animal,Sylvia atricapilla,Animal
Mustela erminea,Animal,Prunella modularis,Animal
Martes martes,Animal,Turdus merula,Animal
Accipiter nisus,Animal,Turdus philomelos,Animal
Garrulus glandarius,Animal,Turdus merula,Animal
Accipiter nisus,Animal,Turdus merula,Animal
Garrulus glandarius,Animal,Phylloscopus collybita,Animal
Sciurus vulgaris,Animal,Turdus merula,Animal
Mustela nivalis,Animal,Phylloscopus collybita,Animal
Dendrocopos major,Animal,Turdus merula,Animal
Corvus cornix,Animal,Turdus merula,Animal
Buteo buteo,Animal,Emberiza citrinella,Animal
Pica pica,Animal,Turdus philomelos,Animal
Vulpes vulpes,Animal,Sylvia atricapilla,Animal
Accipiter gentilis,Animal,Sylvia atricapilla,Animal
Martes,Animal,Prunella modularis,Animal
Martes,Animal,Hippolais icterina,Animal
Felis catus,Animal,Emberiza citrinella,Animal
Martes martes,Animal,Sylvia atricapilla,Animal
Mustela,Animal,Phylloscopus collybita,Animal
Buteo buteo,Animal,Turdus merula,Animal
Martes martes,Animal,Sylvia borin,Animal
Mustela putorius,Animal,Phylloscopus collybita,Animal
Garrulus glandarius,Animal,Fringilla coelebs,Animal
Dendrocopos major,Animal,Carduelis carduelis,Animal
Buteo buteo,Animal,Sylvia atricapilla,Animal
Felis catus,Animal,Sylvia atricapilla,Animal
Pica pica,Animal,Turdus merula,Animal
Martes foina,Animal,Turdus philomelos,Animal
Buteo buteo,Animal,Turdus philomelos,Animal
Pernis apivorus,Animal,Sylvia atricapilla,Animal
Erinaceus,Animal,Phylloscopus collybita,Animal
Neogale vison,Animal,Emberiza citrinella,Animal
Lanius collurio,Animal,Sylvia atricapilla,Animal
Parus major,Animal,Operophtera,Animal
Parus major,Animal,Amphipyra,Animal
Parus major,Animal,Erannis,Animal
Turdus merula,Animal,Rubus,Plant
Turdus merula,Animal,Rosa canina,Plant
Turdus merula,Animal,Prunus spinosa,Plant
Turdus merula,Animal,Sambucus nigra,Plant
Turdus merula,Animal,Crataegus monogyna,Plant
Turdus merula,Animal,Hedera helix,Plant
Astacus leptodactylus,Animal,Bufo bufo,Animal
Austropotamobius pallipes,Animal,Bufo bufo,Animal
Procambarus clarkii,Animal,Rana italica,Animal
Procambarus clarkii,Animal,Pelophylax lessonae,Animal
Austropotamobius pallipes,Animal,Pelophylax lessonae,Animal
Procambarus clarkii,Animal,Bufo bufo,Animal
Bufo bufo,Animal,Lampyris noctiluca,Animal
Apodemus sylvaticus,Animal,Sanicula europaea,Plant
Myodes glareolus,Animal,Primula vulgaris,Plant
Myodes glareolus,Animal,Euonymus europaeus,Plant
Apodemus sylvaticus,Animal,Fragaria vesca,Plant
Myodes glareolus,Animal,Oxalis acetosella,Plant
Myodes glareolus,Animal,Pteridium aquilinum,Plant
Myodes glareolus,Animal,Quercus robur,Plant
Myodes glareolus,Animal,Ligustrum vulgare,Plant
Myodes glareolus,Animal,Fraxinus excelsior,Plant
Myodes glareolus,Animal,Dryopteris filix-mas,Plant
Myodes glareolus,Animal,Sambucus nigra,Plant
Myodes glareolus,Animal,Acer pseudoplatanus,Plant
Myodes glareolus,Animal,Geum urbanum,Plant
Apodemus sylvaticus,Animal,Prunus spinosa,Plant
Myodes glareolus,Animal,Galium aparine,Plant
Apodemus sylvaticus,Animal,Mercurialis perennis,Plant
Myodes glareolus,Animal,Fragaria vesca,Plant
Myodes glareolus,Animal,Urtica dioica,Plant
Apodemus sylvaticus,Animal,Sambucus nigra,Plant
Myodes glareolus,Animal,Agrimonia eupatoria,Plant
Myodes glareolus,Animal,Agrimonia procera,Plant
Myodes glareolus,Animal,Prunus spinosa,Plant
Myodes glareolus,Animal,Rubus,Plant
Apodemus sylvaticus,Animal,Rubus,Plant
Myodes glareolus,Animal,Glechoma hederacea,Plant
Apodemus sylvaticus,Animal,Pteridium aquilinum,Plant
Apodemus sylvaticus,Animal,Primula vulgaris,Plant
Myodes glareolus,Animal,Hyacinthoides non-scripta,Plant
Myodes glareolus,Animal,Mercurialis perennis,Plant
Apodemus sylvaticus,Animal,Hyacinthoides non-scripta,Plant
Myodes glareolus,Animal,Corylus avellana,Plant
Myodes glareolus,Animal,Viola riviniana,Plant
Myodes glareolus,Animal,Ranunculus,Plant
Turdus viscivorus,Animal,Taxus baccata,Plant
Turdus viscivorus,Animal,Ilex aquifolium,Plant
Turdus iliacus,Animal,Taxus baccata,Plant
Turdus philomelos,Animal,Taxus baccata,Plant
Turdus pilaris,Animal,Taxus baccata,Plant
Turdus iliacus,Animal,Ilex aquifolium,Plant
Turdus merula,Animal,Taxus baccata,Plant
Turdus philomelos,Animal,Crataegus monogyna,Plant
Turdus philomelos,Animal,Ilex aquifolium,Plant
Turdus viscivorus,Animal,Crataegus monogyna,Plant
Turdus iliacus,Animal,Crataegus monogyna,Plant
Turdus merula,Animal,Ilex aquifolium,Plant
Turdus pilaris,Animal,Ilex aquifolium,Plant
Turdus pilaris,Animal,Crataegus monogyna,Plant
Lycaena virgaureae,Animal,Rumex acetosella,Plant
Lycaena virgaureae,Animal,Rumex acetosa,Plant
Hyles gallii,Animal,Galium spurium,Plant
Halidamia affinis,Animal,Galium aparine,Plant
Sturnus vulgaris,Animal,Ilex aquifolium,Plant
Sturnus vulgaris,Animal,Ilex,Plant
Erithacus rubecula,Animal,Ilex yunnanensis,Plant
Erithacus rubecula,Animal,Ilex integra,Plant
Erithacus rubecula,Animal,Ilex,Plant
Erithacus rubecula,Animal,Ilex ciliospinosa,Plant
Erithacus rubecula,Animal,Ilex decidua,Plant
Erithacus rubecula,Animal,Ilex dipyrena,Plant
Erithacus rubecula,Animal,Ilex crenata,Plant
Erithacus rubecula,Animal,Ilex maximowicziana,Plant
Erithacus rubecula,Animal,Ilex serrata,Plant
Erithacus rubecula,Animal,Ilex cornuta,Plant
Erithacus rubecula,Animal,Ilex latifolia,Plant
Erithacus rubecula,Animal,Ilex pernyi,Plant
Erithacus rubecula,Animal,Ilex opaca,Plant
Erithacus rubecula,Animal,Ilex verticillata,Plant
Erithacus rubecula,Animal,Ilex aquifolium,Plant
Araneus diadematus,Animal,Araneus diadematus,Animal
Araneus diadematus,Animal,Drosophila melanogaster,Animal
Araneus diadematus,Animal,Aedes aegypti,Animal
Garrulus glandarius,Animal,Odonata,Animal
Garrulus glandarius,Animal,Cicada orni,Animal
Garrulus glandarius,Animal,Quercus ilex,Plant
Vulpes vulpes,Animal,Cervus elaphus,Animal
Vulpes vulpes,Animal,Lepus europaeus,Animal
Vulpes vulpes,Animal,Soricidae,Animal
Vulpes vulpes,Animal,Myodes glareolus,Animal
Vulpes vulpes,Animal,Microtus oeconomus,Animal
Vulpes vulpes,Animal,Sus scrofa,Animal
Vulpes vulpes,Animal,Sciuridae,Animal
Vulpes vulpes,Animal,Microtus,Animal
Vulpes vulpes,Animal,Apodemus flavicollis,Animal
Vulpes vulpes,Animal,Capreolus capreolus,Animal
Vulpes vulpes,Animal,Ovis aries,Animal
Vulpes vulpes,Animal,Talpa europaea,Animal
Vulpes vulpes,Animal,Apodemus,Animal
Vulpes vulpes,Animal,Mustela nivalis,Animal
Vulpes vulpes,Animal,Cervidae,Animal
